quartil,periodo,grupo_origem,alvo,peso,n,pct_da_origem
Q1,pos,3,G9,12213.89697593,16,5.03809571873984
Q1,pos,5,Desocupado,91078.88947505,163,1.5786876131209098
Q1,pos,5,Fora da força de trabalho,182568.54891324,393,3.1644951796842564
Q1,pos,5,G0,5408.41778863,8,0.09374512819276198
Q1,pos,5,G1,14625.17349484,31,0.2535008976187945
Q1,pos,5,G2,44148.3867552,65,0.7652323355215921
Q1,pos,5,G3,96057.61941365,128,1.66498488056064
Q1,pos,5,G4,139014.0279175,246,2.409556431663783
Q1,pos,5,G5,4493714.59519223,8136,77.89040478226276
Q1,pos,5,G6,16115.43091307,50,0.2793318112375396
Q1,pos,5,G7,106591.88721356,186,1.8475773362314136
Q1,pos,5,G8,87375.91082934,140,1.514503184069049
Q1,pos,5,G9,492579.89264965,1170,8.537980419836503
Q1,pos,6,Desocupado,57996.09905172,166,2.0162541964698093
Q1,pos,6,Fora da força de trabalho,427909.47987727,1677,14.87641925265268
Q1,pos,6,G0,66.77102414,1,0.0023213174649005857
Q1,pos,6,G1,13296.03924697,38,0.4622413466847732
Q1,pos,6,G2,5349.5594802900005,19,0.1859792628773311
Q1,pos,6,G3,9152.82597421,29,0.31820112183064975
Q1,pos,6,G4,7819.47607135,21,0.27184675695161464
Q1,pos,6,G5,80123.4474789,263,2.78551902380354
Q1,pos,6,G6,1863267.83861591,6380,64.77714294898155
Q1,pos,6,G7,82481.34943828,255,2.867492290940432
Q1,pos,6,G8,79091.0611111,242,2.7496277590376343
Q1,pos,6,G9,249873.99278063,784,8.686954722305078
Q1,pos,7,Desocupado,1459375.72333909,2903,2.7507102230934053
Q1,pos,7,Fora da força de trabalho,2942798.92001733,6977,5.546746423380826
Q1,pos,7,G0,12818.46657692,25,0.024160938470895916
Q1,pos,7,G1,317288.75469154,584,0.5980429900571974
Q1,pos,7,G2,385402.2446654,649,0.7264269765832864
Q1,pos,7,G3,1363395.59039712,2249,2.569801682081588
